timestamp,temp,ac,lights,occu
181,25.85,On,On,24
182,25.86,On,On,24
183,25.86,On,On,24
184,25.86,On,On,24
185,25.86,On,On,24
186,25.87,On,On,24
187,25.87,On,On,24
188,25.88,On,On,24
189,25.88,On,On,24
190,25.9,On,On,24
191,25.9,On,On,24
192,25.88,On,On,24
193,25.89,On,On,24
194,25.89,On,On,24
195,25.91,On,On,24
196,25.92,On,On,24
197,25.91,On,On,24
198,25.93,On,On,24
199,25.94,On,On,26
200,25.94,On,On,26
201,25.93,On,On,26
202,25.91,On,On,26
203,25.91,On,On,27
204,25.93,On,On,27
205,25.93,On,On,27
206,25.92,On,On,27
207,25.93,On,On,27
208,25.94,On,On,29
209,25.92,On,On,31
210,25.92,On,On,31
211,25.93,On,On,31
212,25.91,On,On,31
213,25.89,On,On,31
214,25.91,On,On,31
215,25.92,On,On,31
216,25.93,On,On,31
217,25.91,On,On,31
218,25.92,On,On,31
219,25.92,On,On,31
220,25.9,On,On,31
221,25.9,On,On,31
222,25.9,On,On,31
223,25.88,On,On,31
224,25.87,On,On,31
225,25.88,On,On,31
226,25.87,On,On,31
227,25.87,On,On,31
228,25.86,On,On,31
229,25.85,On,On,31
230,25.84,On,On,31
231,25.84,On,On,31
232,25.82,On,On,31
233,25.83,On,On,31
234,25.84,On,On,31
235,25.84,On,On,31
236,25.84,On,On,31
237,25.85,On,On,31
238,25.83,On,On,31
239,25.82,On,On,31
240,25.83,On,On,31
241,25.83,On,On,31
242,25.82,On,On,31
243,25.83,On,On,31
244,25.84,On,On,31
245,25.82,On,On,31
246,25.82,On,On,31
247,25.84,On,On,31
248,25.83,On,On,31
249,25.82,On,On,31
250,25.83,On,On,31
251,25.84,On,On,31
252,25.85,On,On,31
253,25.85,On,On,31
254,25.87,On,On,31
255,25.88,On,On,31
256,25.88,On,On,31
257,25.87,On,On,31
258,25.88,On,On,31
259,25.86,On,On,31
260,25.87,On,On,31
261,25.89,On,On,31
262,25.89,On,On,31
263,25.91,On,On,31
264,25.91,On,On,31
265,25.92,On,On,31
266,25.92,On,On,31
267,25.9,On,On,31
268,25.88,On,On,31
269,25.86,On,On,31
270,25.87,On,On,31
271,25.88,On,On,31
272,25.86,On,On,31
273,25.86,On,On,31
274,25.86,On,On,31
275,25.85,On,On,31
276,25.85,On,On,31
277,25.84,On,On,31
278,25.82,On,On,31
279,25.82,On,On,31
280,25.8,On,On,31
281,25.81,On,On,31
282,25.8,On,On,31
283,25.8,On,On,31
284,25.81,On,On,31
285,25.82,On,On,31
286,25.81,On,On,31
287,25.79,On,On,31
288,25.79,On,On,31
289,25.78,On,On,31
290,25.79,On,On,31
291,25.78,On,On,31
292,25.79,On,On,31
293,25.8,On,On,31
294,25.8,On,On,31
295,25.82,On,On,31
296,25.8,On,On,31
297,25.81,On,On,31
298,25.8,On,On,31
299,25.78,On,On,31
300,25.76,On,On,31
301,25.78,On,On,31
302,25.78,On,On,31
303,25.77,On,On,31
304,25.77,On,On,31
305,25.77,On,On,31
306,25.78,On,On,31
307,25.79,On,On,31
308,25.8,On,On,31
309,25.79,On,On,31
310,25.78,On,On,31
311,25.78,On,On,31
312,25.79,On,On,31
313,25.79,On,On,31
314,25.81,On,On,31
315,25.81,On,On,31
316,25.8,On,On,31
317,25.81,On,On,31
318,25.82,On,On,31
319,25.83,On,On,31
320,25.81,On,On,31
321,25.81,On,On,31
322,25.82,On,On,31
323,25.8,On,On,31
324,25.79,On,On,31
325,25.8,On,On,31
326,25.8,On,On,31
327,25.81,On,On,31
328,25.81,On,On,31
329,25.83,On,On,31
330,25.83,On,On,31
331,25.82,On,On,31
332,25.81,On,On,31
333,25.82,On,On,31
334,25.83,On,On,31
335,25.83,On,On,31
336,25.85,On,On,31
337,25.85,On,On,31
338,25.86,On,On,31
339,25.85,On,On,31
340,25.86,On,On,31
341,25.84,On,On,31
342,25.83,On,On,31
343,25.82,On,On,31
344,25.82,On,On,31
345,25.81,On,On,31
346,25.81,On,On,31
347,25.82,On,On,31
348,25.81,On,On,31
349,25.82,On,On,32
350,25.81,On,On,32
351,25.82,On,On,32
352,25.81,On,On,32
353,25.8,On,On,32
354,25.81,On,On,32
355,25.81,On,On,32
356,25.81,On,On,32
357,25.79,On,On,32
358,25.79,On,On,32
359,25.8,On,On,32
360,25.8,On,On,32
361,25.79,On,On,32
362,25.8,On,On,32
363,25.8,On,On,32
364,25.81,On,On,32
365,25.81,On,On,32
366,25.82,On,On,32
367,25.82,On,On,32
368,25.82,On,On,32
369,25.82,On,On,32
370,25.8,On,On,32
371,25.81,On,On,32
372,25.82,On,On,32
373,25.83,On,On,32
374,25.83,On,On,32
375,25.82,On,On,32
376,25.8,On,On,32
377,25.79,On,On,32
378,25.77,On,On,32
379,25.76,On,On,32
380,25.75,On,On,32
381,25.73,On,On,32
382,25.72,On,On,32
383,25.74,On,On,32
384,25.76,On,On,32
385,25.75,On,On,32
386,25.74,On,On,32
387,25.72,On,On,32
388,25.73,On,On,32
389,25.73,On,On,32
390,25.74,On,On,32
391,25.73,On,On,32
392,25.74,On,On,32
393,25.73,On,On,32
394,25.75,On,On,32
395,25.75,On,On,32
396,25.75,On,On,32
397,25.77,On,On,32
398,25.79,On,On,32
399,25.78,On,On,32
400,25.76,On,On,32
401,25.77,On,On,32
402,25.77,On,On,32
403,25.75,On,On,32
404,25.74,On,On,32
405,25.73,On,On,32
406,25.72,On,On,32
407,25.74,On,On,32
408,25.72,On,On,32
409,25.74,On,On,32
410,25.75,On,On,32
411,25.77,On,On,32
412,25.75,On,On,32
413,25.75,On,On,32
414,25.77,On,On,32
415,25.77,On,On,32
416,25.77,On,On,32
417,25.79,On,On,32
418,25.77,On,On,32
419,25.76,On,On,32
420,25.78,On,On,32
421,25.78,On,On,32
422,25.78,On,On,32
423,25.76,On,On,32
424,25.78,On,On,32
425,25.79,On,On,32
426,25.79,On,On,32
427,25.8,On,On,32
428,25.8,On,On,32
429,25.79,On,On,32
430,25.77,On,On,32
431,25.75,On,On,32
432,25.74,On,On,32
433,25.74,On,On,32
434,25.74,On,On,32
435,25.76,On,On,32
436,25.78,On,On,32
437,25.79,On,On,32
438,25.79,On,On,32
439,25.8,On,On,32
440,25.78,On,On,32
441,25.76,On,On,32
442,25.76,On,On,32
443,25.77,On,On,32
444,25.75,On,On,32
445,25.77,On,On,32
446,25.78,On,On,32
447,25.78,On,On,32
448,25.77,On,On,32
449,25.76,On,On,32
450,25.76,On,On,32
451,25.76,On,On,32
452,25.75,On,On,32
453,25.77,On,On,32
454,25.77,On,On,32
455,25.78,On,On,32
456,25.78,On,On,32
457,25.79,On,On,32
458,25.78,On,On,32
459,25.77,On,On,32
460,25.78,On,On,32
461,25.77,On,On,32
462,25.79,On,On,32
463,25.8,On,On,32
464,25.81,On,On,32
465,25.8,On,On,32
466,25.82,On,On,32
467,25.83,On,On,32
468,25.85,On,On,32
469,25.85,On,On,32
470,25.87,On,On,32
471,25.88,On,On,32
472,25.9,On,On,32
473,25.89,On,On,32
474,25.89,On,On,32
475,25.9,On,On,32
476,25.9,On,On,32
477,25.91,On,On,32
478,25.92,On,On,32
479,25.93,On,On,32
480,25.94,On,On,32
481,25.94,On,On,32
482,25.93,On,On,32
483,25.92,On,On,32
484,25.93,On,On,32
485,25.91,On,On,32
486,25.91,On,On,32
487,25.92,On,On,32
488,25.93,On,On,32
489,25.91,On,On,32
490,25.9,On,On,32
491,25.89,On,On,32
492,25.9,On,On,32
493,25.88,On,On,32
494,25.87,On,On,32
495,25.87,On,On,32
496,25.85,On,On,32
497,25.84,On,On,32
498,25.86,On,On,32
499,25.86,On,On,32
500,25.87,On,On,32
501,25.87,On,On,32
502,25.85,On,On,32
503,25.83,On,On,32
504,25.82,On,On,32
505,25.83,On,On,32
506,25.82,On,On,32
507,25.83,On,On,32
508,25.82,On,On,32
509,25.84,On,On,32
510,25.85,On,On,32
511,25.84,On,On,32
512,25.85,On,On,32
513,25.86,On,On,32
514,25.87,On,On,32
515,25.88,On,On,32
516,25.85,On,On,32
517,25.86,On,On,32
518,25.86,On,On,32
519,25.86,On,On,32
520,25.86,On,On,32
521,25.87,On,On,32
522,25.87,On,On,32
523,25.86,On,On,32
524,25.86,On,On,32
525,25.86,On,On,32
526,25.85,On,On,32
527,25.85,On,On,32
528,25.86,On,On,32
529,25.85,On,On,32
530,25.86,On,On,32
531,25.87,On,On,32
532,25.87,On,On,32
533,25.88,On,On,32
534,25.88,On,On,32
535,25.88,On,On,32
536,25.89,On,On,32
537,25.88,On,On,32
538,25.9,On,On,32
539,25.88,On,On,32
540,25.88,On,On,32
541,25.89,On,On,32
542,25.87,On,On,32
543,25.88,On,On,32
544,25.88,On,On,32
545,25.88,On,On,32
546,25.86,On,On,32
547,25.86,On,On,32
548,25.87,On,On,32
549,25.87,On,On,32
550,25.89,On,On,32
551,25.89,On,On,32
552,25.9,On,On,32
553,25.92,On,On,32
554,25.93,On,On,32
555,25.94,On,On,32
556,25.93,On,On,32
557,25.93,On,On,32
558,25.95,On,On,32
559,25.94,On,On,32
560,25.93,On,On,32
561,25.95,On,On,32
562,25.94,On,On,32
563,25.92,On,On,32
564,25.93,On,On,32
565,25.95,On,On,32
566,25.94,On,On,32
567,25.95,On,On,32
568,25.95,On,On,32
569,25.93,On,On,32
570,25.91,On,On,32
571,25.92,On,On,32
572,25.93,On,On,32
573,25.94,On,On,32
574,25.93,On,On,32
575,25.94,On,On,32
576,25.95,On,On,32
577,25.94,On,On,32
578,25.93,On,On,32
579,25.93,On,On,32
580,25.93,On,On,32
581,25.94,On,On,32
582,25.93,On,On,32
583,25.92,On,On,32
584,25.93,On,On,32
585,25.92,On,On,32
586,25.91,On,On,32
587,25.91,On,On,32
588,25.93,On,On,32
589,25.91,On,On,32
590,25.91,On,On,32
591,25.92,On,On,32
592,25.92,On,On,32
593,25.9,On,On,32
594,25.88,On,On,32
595,25.89,On,On,32
596,25.91,On,On,32
597,25.89,On,On,32
598,25.9,On,On,32
599,25.9,On,On,32
600,25.91,On,On,32
601,25.9,On,On,32
602,25.91,On,On,32
603,25.91,On,On,32
604,25.91,On,On,32
605,25.92,On,On,32
606,25.92,On,On,32
607,25.92,On,On,32
608,25.91,On,On,32
609,25.9,On,On,32
610,25.91,On,On,32
611,25.93,On,On,32
612,25.92,On,On,32
613,25.93,On,On,32
614,25.93,On,On,32
615,25.94,On,On,32
616,25.95,On,On,32
617,25.95,On,On,32
618,25.95,On,On,32
619,25.96,On,On,32
620,25.97,On,On,32
621,25.98,On,On,32
622,25.98,On,On,32
623,25.99,On,On,32
624,25.97,On,On,32
625,25.99,On,On,32
626,25.98,On,On,32
627,25.96,On,On,32
628,25.95,On,On,32
629,25.94,On,On,32
630,25.95,On,On,32
631,25.94,On,On,32
632,25.94,On,On,32
633,25.94,On,On,32
634,25.94,On,On,32
635,25.94,On,On,32
636,25.95,On,On,32
637,25.95,On,On,32
638,25.94,On,On,32
639,25.93,On,On,32
640,25.93,On,On,32
641,25.94,On,On,32
642,25.93,On,On,32
643,25.93,On,On,32
644,25.94,On,On,32
645,25.95,On,On,32
646,25.93,On,On,32
647,25.91,On,On,32
648,25.89,On,On,32
649,25.9,On,On,32
650,25.91,On,On,32
651,25.93,On,On,32
652,25.94,On,On,32
653,25.95,On,On,32
654,25.94,On,On,32
655,25.94,On,On,32
656,25.94,On,On,32
657,25.93,On,On,32
658,25.93,On,On,32
659,25.91,On,On,32
660,25.91,On,On,32
661,25.89,On,On,32
662,25.9,On,On,32
663,25.9,On,On,32
664,25.91,On,On,32
665,25.92,On,On,32
666,25.92,On,On,32
667,25.92,On,On,32
668,25.91,On,On,32
669,25.9,On,On,32
670,25.88,On,On,32
671,25.89,On,On,32
672,25.88,On,On,32
673,25.89,On,On,32
674,25.87,On,On,32
675,25.89,On,On,32
676,25.87,On,On,32
677,25.87,On,On,32
678,25.86,On,On,32
679,25.88,On,On,32
680,25.9,On,On,32
681,25.88,On,On,32
682,25.89,On,On,32
683,25.89,On,On,32
684,25.89,On,On,32
685,25.89,On,On,32
686,25.88,On,On,32
687,25.89,On,On,32
688,25.9,On,On,32
689,25.88,On,On,32
690,25.9,On,On,32
691,25.92,On,On,32
692,25.9,On,On,32
693,25.9,On,On,32
694,25.91,On,On,32
695,25.92,On,On,32
696,25.92,On,On,32
697,25.92,On,On,32
698,25.93,On,On,32
699,25.91,On,On,32
700,25.92,On,On,32
701,25.93,On,On,32
702,25.93,On,On,32
703,25.94,On,On,32
704,25.94,On,On,32
705,25.94,On,On,32
706,25.92,On,On,32
707,25.91,On,On,32
708,25.92,On,On,32
709,25.92,On,On,32
710,25.93,On,On,32
711,25.94,On,On,32
712,25.93,On,On,32
713,25.93,On,On,32
714,25.91,On,On,32
715,25.93,On,On,32
716,25.91,On,On,32
717,25.89,On,On,32
718,25.9,On,On,32
719,25.91,On,On,32
720,25.9,On,On,32
721,25.89,On,On,32
722,25.88,On,On,32
723,25.89,On,On,32
724,25.91,On,On,32
725,25.9,On,On,32
726,25.88,On,On,32
727,25.88,On,On,32
728,25.88,On,On,32
729,25.89,On,On,32
730,25.88,On,On,32
731,25.86,On,On,32
732,25.87,On,On,32
733,25.88,On,On,32
734,25.89,On,On,32
735,25.88,On,On,32
736,25.89,On,On,32
737,25.9,On,On,32
738,25.91,On,On,32
739,25.91,On,On,32
740,25.9,On,On,32
741,25.89,On,On,32
742,25.87,On,On,32
743,25.88,On,On,32
744,25.86,On,On,32
745,25.85,On,On,32
746,25.86,On,On,32
747,25.85,On,On,32
748,25.83,On,On,32
749,25.84,On,On,32
750,25.84,On,On,32
751,25.82,On,On,32
752,25.8,On,On,32
753,25.79,On,On,32
754,25.79,On,On,32
755,25.77,On,On,32
756,25.75,On,On,32
757,25.76,On,On,32
758,25.76,On,On,32
759,25.78,On,On,32
760,25.78,On,On,32
761,25.78,On,On,32
762,25.79,On,On,32
763,25.81,On,On,32
764,25.79,On,On,32
765,25.8,On,On,32
766,25.8,On,On,32
767,25.79,On,On,32
768,25.77,On,On,32
769,25.77,On,On,32
770,25.76,On,On,32
771,25.76,On,On,32
772,25.74,On,On,32
773,25.74,On,On,32
774,25.76,On,On,32
775,25.76,On,On,32
776,25.76,On,On,32
777,25.74,On,On,32
778,25.73,On,On,32
779,25.72,On,On,32
780,25.7,On,On,32
781,25.69,On,On,32
782,25.68,On,On,32
783,25.69,On,On,32
784,25.69,On,On,32
785,25.7,On,On,32
786,25.72,On,On,32
787,25.74,On,On,32
788,25.73,On,On,32
789,25.72,On,On,32
790,25.71,On,On,32
791,25.71,On,On,32
792,25.72,On,On,32
793,25.73,On,On,32
794,25.75,On,On,32
795,25.73,On,On,32
796,25.74,On,On,32
797,25.73,On,On,32
798,25.73,On,On,32
799,25.71,On,On,32
800,25.71,On,On,32
801,25.7,On,On,32
802,25.7,On,On,32
803,25.69,On,On,32
804,25.68,On,On,32
805,25.66,On,On,32
806,25.66,On,On,32
807,25.67,On,On,32
808,25.66,On,On,32
809,25.65,On,On,32
810,25.67,On,On,32
811,25.69,On,On,32
812,25.67,On,On,32
813,25.66,On,On,32
814,25.67,On,On,32
815,25.66,On,On,32
816,25.68,On,On,32
817,25.67,On,On,32
818,25.66,On,On,32
819,25.65,On,On,32
820,25.64,On,On,32
821,25.65,On,On,32
822,25.63,On,On,32
823,25.63,On,On,32
824,25.62,On,On,32
825,25.63,On,On,32
826,25.63,On,On,32
827,25.64,On,On,32
828,25.65,On,On,32
829,25.64,On,On,32
830,25.65,On,On,32
831,25.67,On,On,32
832,25.67,On,On,32
833,25.68,On,On,32
834,25.7,On,On,32
835,25.68,On,On,32
836,25.67,On,On,32
837,25.68,On,On,32
838,25.67,On,On,32
839,25.67,On,On,32
840,25.68,On,On,32
841,25.69,On,On,32
842,25.68,On,On,32
843,25.7,On,On,32
844,25.71,On,On,32
845,25.69,On,On,32
846,25.67,On,On,32
847,25.65,On,On,32
848,25.65,On,On,32
849,25.65,On,On,32
850,25.66,On,On,32
851,25.66,On,On,32
852,25.67,On,On,32
853,25.66,On,On,32
854,25.65,On,On,32
855,25.66,On,On,32
856,25.67,On,On,32
857,25.68,On,On,32
858,25.67,On,On,32
859,25.67,On,On,32
860,25.67,On,On,32
861,25.65,On,On,32
862,25.66,On,On,32
863,25.66,On,On,32
864,25.67,On,On,32
865,25.67,On,On,32
866,25.68,On,On,32
867,25.67,On,On,32
868,25.66,On,On,32
869,25.64,On,On,32
870,25.64,On,On,32
871,25.63,On,On,32
872,25.62,On,On,32
873,25.61,On,On,32
874,25.62,On,On,32
875,25.6,On,On,32
876,25.62,On,On,32
877,25.61,On,On,32
878,25.6,On,On,32
879,25.59,On,On,32
880,25.59,On,On,32
881,25.59,On,On,32
882,25.57,On,On,32
883,25.57,On,On,32
884,25.59,On,On,32
885,25.57,On,On,32
886,25.55,On,On,32
887,25.53,On,On,32
888,25.53,On,On,32
889,25.51,On,On,32
890,25.51,On,On,32
891,25.49,On,On,32
892,25.49,On,On,32
893,25.47,On,On,32
894,25.48,On,On,32
895,25.49,On,On,32
896,25.49,On,On,32
897,25.5,On,On,32
898,25.51,On,On,32
899,25.52,On,On,32
