time,occu,temp,ac,lights
11.9,11,22,on,on
12,11,22,on,on
12.1,11,22,on,on
12.2,11,22,on,on
12.3,11,22,on,on
12.4,11,22,on,on
12.5,11,22,on,on
12.6,11,22,on,on
12.7,11,22,on,on
12.8,11,22,on,on
12.9,11,22,on,on
13,11,22,on,on
13.1,11,22,on,on
13.2,11,22,on,on
13.3,11,22,on,on
13.4,11,22,on,on
13.5,11,22,on,on
13.6,11,22,on,on
13.7,11,22,on,on
13.8,11,22,on,on
13.9,11,22,on,on
14,11,22,on,on
14.1,11,22,on,on
14.2,11,22,on,on
14.3,11,22,on,on
14.4,11,22,on,on
14.5,11,22,on,on
14.6,11,22,on,on
14.7,11,22,on,on
14.8,11,22,on,on
14.9,11,22,on,on
15,11,22,on,on
15.1,11,22,on,on
15.2,11,22,on,on
15.3,11,22,on,on
15.4,11,22,on,on
15.5,11,22,on,on
15.6,11,22,on,on
15.7,11,22,on,on
15.8,11,22,on,on
15.9,11,22,on,on
16,11,22,on,on
16.1,11,22,on,on
16.2,11,22,on,on
16.3,11,22,on,on
16.4,11,22,on,on
16.5,11,22,on,on
16.6,11,22,on,on
16.7,11,22,on,on
16.8,11,22,on,on
16.9,11,22,on,on
17,11,22,on,on
17.1,11,22,on,on
17.2,11,22,on,on
17.3,11,22,on,on
17.4,11,22,on,on
17.5,11,22,on,on
17.6,11,22,on,on
17.7,11,22,on,on
17.8,11,22,on,on
17.9,11,22,on,on
18,11,22,on,on
18.1,11,22,on,on
18.2,11,22,on,on
18.3,11,22,on,on
18.4,11,22,on,on
18.5,11,22,on,on
18.6,11,22,on,on
18.7,11,22,on,on
18.8,11,22,on,on
18.9,11,22,on,on
19,11,22,on,on
19.1,11,22,on,on
19.2,11,22,on,on
19.3,11,22,on,on
19.4,11,22,on,on
19.5,10,22,on,on
19.6,10,22,on,on
19.7,10,22,on,on
19.8,10,22,on,on
19.9,10,22,on,on
20,10,22,on,on
20.1,10,22,on,on
20.2,10,22,on,on
20.3,10,22,on,on
20.4,10,22,on,on
20.5,10,22,on,on
20.6,10,22,on,on
20.7,10,22,on,on
20.8,10,22,on,on
20.9,10,22,on,on
21,10,22,on,on
21.1,10,22,on,on
21.2,10,22,on,on
21.3,10,22,on,on
21.4,10,22,on,on
21.5,10,22,on,on
21.6,10,22,on,on
21.7,10,22,on,on
21.8,10,22,on,on
21.9,10,22,on,on
22,10,22,on,on
22.1,10,22,on,on
22.2,10,22,on,on
22.3,10,22,on,on
22.4,10,22,on,on
22.5,10,22,on,on
22.6,10,22,on,on
22.7,10,22,on,on
22.8,10,22,on,on
22.9,10,22,on,on
23,10,22,on,on
23.1,10,22,on,on
23.2,10,22,on,on
23.3,10,22,on,on
23.4,10,22,on,on
23.5,10,22,on,on
23.6,10,22,on,on
23.7,10,22,on,on
23.8,10,22,on,on
23.9,10,22,on,on
24,10,22,on,on
24.1,10,22,on,on
24.2,10,22,on,on
24.3,10,22,on,on
24.4,10,22,on,on
24.5,10,22,on,on
24.6,10,22,on,on
24.7,10,22,on,on
24.8,10,22,on,on
24.9,10,22,on,on
25,10,22,on,on
25.1,10,22,on,on
25.2,10,22,on,on
25.3,10,22,on,on
25.4,10,22,on,on
25.5,10,22,on,on
25.6,10,22,on,on
25.7,10,22,on,on
25.8,10,22,on,on
25.9,10,22,on,on
26,10,22,on,on
26.1,10,22,on,on
26.2,10,22,on,on
26.3,10,22,on,on
26.4,10,22,on,on
26.5,10,22,on,on
26.6,10,22,on,on
26.7,10,22,on,on
26.8,10,22,on,on
26.9,10,22,on,on
27,10,22,on,on
27.1,10,22,on,on
27.2,10,22,on,on
27.3,10,22,on,on
27.4,10,22,on,on
27.5,10,22,on,on
27.6,10,22,on,on
27.7,10,22,on,on
27.8,10,22,on,on
27.9,10,22,on,on
28,10,22,on,on
28.1,10,22,on,on
28.2,10,22,on,on
28.3,10,22,on,on
28.4,10,22,on,on
28.5,10,22,on,on
28.6,10,22,on,on
28.7,10,22,on,on
28.8,10,22,on,on
28.9,10,22,on,on
29,10,22,on,on
29.1,10,22,on,on
29.2,10,22,on,on
29.3,10,22,on,on
29.4,10,22,on,on
29.5,10,22,on,on
29.6,10,22,on,on
29.7,10,22,on,on
29.8,10,22,on,on
29.9,10,22,on,on
30,10,22,on,on
30.1,10,22,on,on
30.2,10,22,on,on
30.3,10,22,on,on
30.4,10,22,on,on
30.5,11,22,on,on
30.6,11,22,on,on
30.7,11,22,on,on
30.8,11,22,on,on
30.9,11,22,on,on
31,11,22,on,on
31.1,11,22,on,on
31.2,12,22,on,on
31.3,12,22,on,on
31.4,12,22,on,on
31.5,12,22,on,on
31.6,12,22,on,on
31.7,12,22,on,on
31.8,12,22,on,on
31.9,12,22,on,on
32,12,22,on,on
32.1,12,22,on,on
32.2,12,22,on,on
32.3,12,22,on,on
32.4,12,22,on,on
32.5,12,22,on,on
32.6,12,22,on,on
32.7,12,22,on,on
32.8,12,22,on,on
32.9,12,22,on,on
33,12,22,on,on
33.1,12,22,on,on
33.2,12,22,on,on
33.3,12,22,on,on
33.4,12,22,on,on
33.5,12,22,on,on
33.6,12,22,on,on
33.7,12,22,on,on
33.8,12,22,on,on
33.9,12,22,on,on
34,12,22,on,on
34.1,12,22,on,on
34.2,12,22,on,on
34.3,12,22,on,on
34.4,12,22,on,on
34.5,12,22,on,on
34.6,12,22,on,on
34.7,12,22,on,on
34.8,12,22,on,on
34.9,12,22,on,on
35,12,22,on,on
35.1,12,22,on,on
35.2,12,22,on,on
35.3,12,22,on,on
35.4,12,22,on,on
35.5,12,22,on,on
35.6,12,22,on,on
35.7,12,22,on,on
35.8,12,22,on,on
35.9,12,22,on,on
36,12,22,on,on
36.1,12,22,on,on
36.2,12,22,on,on
36.3,12,22,on,on
36.4,12,22,on,on
36.5,12,22,on,on
36.6,12,22,on,on
36.7,12,22,on,on
36.8,12,22,on,on
36.9,12,22,on,on
37,12,22,on,on
37.1,12,22,on,on
37.2,12,22,on,on
37.3,12,22,on,on
37.4,12,22,on,on
37.5,12,22,on,on
37.6,12,22,on,on
37.7,12,22,on,on
37.8,12,22,on,on
37.9,12,22,on,on
38,12,22,on,on
38.1,12,22,on,on
38.2,12,22,on,on
38.3,12,22,on,on
38.4,12,22,on,on
38.5,12,22,on,on
38.6,12,22,on,on
38.7,12,22,on,on
38.8,12,22,on,on
38.9,12,22,on,on
39,12,22,on,on
39.1,12,22,on,on
39.2,12,22,on,on
39.3,12,22,on,on
39.4,12,22,on,on
39.5,12,22,on,on
39.6,12,22,on,on
39.7,12,22,on,on
39.8,12,22,on,on
39.9,12,22,on,on
40,12,22,on,on
40.1,12,22,on,on
40.2,12,22,on,on
40.3,12,22,on,on
40.4,12,22,on,on
40.5,12,22,on,on
40.6,12,22,on,on
40.7,12,22,on,on
40.8,12,22,on,on
40.9,12,22,on,on
41,12,22,on,on
41.1,12,22,on,on
41.2,12,22,on,on
41.3,12,22,on,on
41.4,12,22,on,on
41.5,12,22,on,on
41.6,12,22,on,on
41.7,12,22,on,on
41.8,12,22,on,on
41.9,12,22,on,on
42,12,22,on,on
42.1,12,22,on,on
42.2,12,22,on,on
42.3,12,22,on,on
42.4,12,22,on,on
42.5,12,22,on,on
42.6,12,22,on,on
42.7,12,22,on,on
42.8,12,22,on,on
42.9,12,22,on,on
43,12,22,on,on
43.1,12,22,on,on
43.2,12,22,on,on
43.3,12,22,on,on
43.4,12,22,on,on
43.5,12,22,on,on
43.6,12,22,on,on
43.7,12,22,on,on
43.8,12,22,on,on
43.9,12,22,on,on
44,12,22,on,on
44.1,12,22,on,on
44.2,12,22,on,on
44.3,12,22,on,on
44.4,12,22,on,on
44.5,12,22,on,on
44.6,12,22,on,on
44.7,12,22,on,on
44.8,12,22,on,on
44.9,12,22,on,on
45,12,22,on,on
45.1,12,22,on,on
45.2,12,22,on,on
45.3,12,22,on,on
45.4,12,22,on,on
45.5,12,22,on,on
45.6,12,22,on,on
45.7,12,22,on,on
45.8,12,22,on,on
45.9,12,22,on,on
46,12,22,on,on
46.1,12,22,on,on
46.2,12,22,on,on
46.3,11,22,on,on
46.4,11,22,on,on
46.5,11,22,on,on
46.6,11,22,on,on
46.7,11,22,on,on
46.8,11,22,on,on
46.9,11,22,on,on
47,11,22,on,on
47.1,11,22,on,on
47.2,11,22,on,on
47.3,11,22,on,on
47.4,11,22,on,on
47.5,11,22,on,on
47.6,11,22,on,on
47.7,11,22,on,on
47.8,11,22,on,on
47.9,11,22,on,on
48,11,22,on,on
48.1,11,22,on,on
48.2,11,22,on,on
48.3,11,22,on,on
48.4,11,22,on,on
48.5,11,22,on,on
48.6,11,22,on,on
48.7,11,22,on,on
48.8,11,22,on,on
48.9,11,22,on,on
49,11,22,on,on
49.1,11,22,on,on
49.2,11,22,on,on
49.3,11,22,on,on
49.4,11,22,on,on
49.5,11,22,on,on
49.6,11,22,on,on
49.7,11,22,on,on
49.8,11,22,on,on
49.9,11,22,on,on
50,11,22,on,on
50.1,11,22,on,on
50.2,11,22,on,on
50.3,11,22,on,on
50.4,11,22,on,on
50.5,11,22,on,on
50.6,11,22,on,on
50.7,11,22,on,on
50.8,11,22,on,on
50.9,11,22,on,on
51,11,22,on,on
51.1,11,22,on,on
51.2,11,22,on,on
51.3,11,22,on,on
51.4,11,22,on,on
51.5,11,22,on,on
51.6,11,22,on,on
51.7,11,22,on,on
51.8,11,22,on,on
51.9,11,22,on,on
52,11,22,on,on
52.1,11,22,on,on
52.2,11,22,on,on
52.3,11,22,on,on
52.4,11,22,on,on
52.5,11,22,on,on
52.6,11,22,on,on
52.7,11,22,on,on
52.8,11,22,on,on
52.9,11,22,on,on
53,11,22,on,on
53.1,11,22,on,on
53.2,11,22,on,on
53.3,11,22,on,on
53.4,11,22,on,on
53.5,11,22,on,on
53.6,11,22,on,on
53.7,11,22,on,on
53.8,11,22,on,on
53.9,11,22,on,on
54,11,22,on,on
54.1,11,22,on,on
54.2,11,22,on,on
54.3,11,22,on,on
54.4,11,22,on,on
54.5,11,22,on,on
54.6,11,22,on,on
54.7,11,22,on,on
54.8,11,22,on,on
54.9,11,22,on,on
55,11,22,on,on
55.1,11,22,on,on
55.2,11,22,on,on
55.3,11,22,on,on
55.4,11,22,on,on
55.5,11,22,on,on
55.6,11,22,on,on
55.7,11,22,on,on
55.8,11,22,on,on
55.9,11,22,on,on
56,11,22,on,on
56.1,11,22,on,on
56.2,11,22,on,on
56.3,11,22,on,on
56.4,11,22,on,on
56.5,11,22,on,on
56.6,11,22,on,on
56.7,11,22,on,on
56.8,11,22,on,on
56.9,11,22,on,on
57,11,22,on,on
57.1,11,22,on,on
57.2,11,22,on,on
57.3,11,22,on,on
57.4,11,22,on,on
57.5,11,22,on,on
57.6,11,22,on,on
57.7,11,22,on,on
57.8,11,22,on,on
57.9,11,22,on,on
58,11,22,on,on
58.1,11,22,on,on
58.2,11,22,on,on
58.3,11,22,on,on
58.4,11,22,on,on
58.5,11,22,on,on
58.6,11,22,on,on
58.7,11,22,on,on
58.8,11,22,on,on
58.9,11,22,on,on
59,11,22,on,on
59.1,11,22,on,on
59.2,11,22,on,on
59.3,11,22,on,on
59.4,11,22,on,on
59.5,11,22,on,on
59.6,11,22,on,on
59.7,11,22,on,on
59.8,11,22,on,on
59.9,11,22,on,on
60,11,22,on,on
60.1,11,22,on,on
60.2,11,22,on,on
60.3,11,22,on,on
60.4,11,22,on,on
60.5,11,22,on,on
60.6,11,22,on,on
60.7,11,22,on,on
60.8,11,22,on,on
60.9,11,22,on,on
61,11,22,on,on
61.1,11,23,on,on
61.2,11,23,on,on
61.3,11,23,on,on
61.4,11,23,on,on
61.5,11,23,on,on
61.6,11,23,on,on
61.7,11,23,on,on
61.8,11,23,on,on
61.9,11,23,on,on
62,11,23,on,on
62.1,11,23,on,on
62.2,11,23,on,on
62.3,11,23,on,on
62.4,11,23,on,on
62.5,11,23,on,on
62.6,11,23,on,on
62.7,11,23,on,on
62.8,11,23,on,on
62.9,11,23,on,on
63,11,23,on,on
63.1,11,23,on,on
63.2,11,23,on,on
63.3,11,23,on,on
63.4,11,23,on,on
63.5,11,23,on,on
63.6,11,23,on,on
63.7,11,23,on,on
63.8,11,23,on,on
63.9,11,23,on,on
64,11,23,on,on
64.1,11,23,on,on
64.2,11,23,on,on
64.3,11,23,on,on
64.4,11,23,on,on
64.5,11,23,on,on
64.6,11,23,on,on
64.7,11,23,on,on
64.8,11,23,on,on
64.9,11,23,on,on
65,11,23,on,on
65.1,11,23,on,on
65.2,11,23,on,on
65.3,11,23,on,on
65.4,11,23,on,on
65.5,11,23,on,on
65.6,11,23,on,on
65.7,11,23,on,on
65.8,11,23,on,on
65.9,11,23,on,on
66,11,23,on,on
66.1,11,23,on,on
66.2,11,23,on,on
66.3,11,23,on,on
66.4,11,23,on,on
66.5,11,23,on,on
66.6,11,23,on,on
66.7,11,23,on,on
66.8,11,23,on,on
66.9,10,23,on,on
67,10,23,on,on
67.1,10,23,on,on
67.2,10,23,on,on
67.3,10,23,on,on
67.4,10,23,on,on
67.5,9,23,on,on
67.6,9,23,on,on
67.7,9,23,on,on
67.8,9,23,on,on
67.9,9,23,on,on
68,9,23,on,on
68.1,9,23,on,on
68.2,9,23,on,on
68.3,9,23,on,on
68.4,9,23,on,on
68.5,9,23,on,on
68.6,9,23,on,on
68.7,9,23,on,on
68.8,9,23,on,on
68.9,9,23,on,on
69,9,23,on,on
69.1,9,23,on,on
69.2,9,23,on,on
69.3,9,23,on,on
69.4,9,23,on,on
69.5,9,23,on,on
69.6,9,23,on,on
69.7,9,23,on,on
69.8,9,23,on,on
69.9,9,23,on,on
70,9,23,on,on
70.1,9,23,on,on
70.2,9,23,on,on
70.3,9,23,on,on
70.4,9,23,on,on
70.5,9,23,on,on
70.6,9,23,on,on
70.7,9,23,on,on
70.8,9,23,on,on
70.9,9,23,on,on
71,9,23,on,on
71.1,9,23,on,on
71.2,9,23,on,on
71.3,9,23,on,on
71.4,9,23,on,on
71.5,9,23,on,on
71.6,9,23,on,on
71.7,9,23,on,on
71.8,9,23,on,on
71.9,9,23,on,on
72,9,23,on,on
72.1,9,23,on,on
72.2,9,23,on,on
72.3,9,23,on,on
72.4,9,23,on,on
72.5,9,23,on,on
72.6,9,23,on,on
72.7,9,23,on,on
72.8,9,23,on,on
72.9,9,23,on,on
73,9,23,on,on
73.1,9,23,on,on
73.2,9,23,on,on
73.3,9,23,on,on
73.4,9,23,on,on
73.5,9,23,on,on
73.6,9,23,on,on
73.7,9,23,on,on
73.8,9,23,on,on
73.9,9,23,on,on
74,9,23,on,on
74.1,9,23,on,on
74.2,9,23,on,on
74.3,9,23,on,on
74.4,9,23,on,on
74.5,9,23,on,on
74.6,9,23,on,on
74.7,9,23,on,on
74.8,9,23,on,on
74.9,9,23,on,on
75,9,23,on,on
75.1,9,23,on,on
75.2,9,23,on,on
75.3,9,23,on,on
75.4,9,23,on,on
75.5,9,23,on,on
75.6,9,23,on,on
75.7,9,23,on,on
75.8,9,23,on,on
75.9,9,23,on,on
76,9,23,on,on
76.1,9,23,on,on
76.2,9,23,on,on
76.3,9,23,on,on
76.4,9,23,on,on
76.5,9,23,on,on
76.6,9,23,on,on
76.7,9,23,on,on
76.8,9,23,on,on
76.9,9,23,on,on
77,9,23,on,on
77.1,9,23,on,on
77.2,9,23,on,on
77.3,9,23,on,on
77.4,9,23,on,on
77.5,9,23,on,on
77.6,9,23,on,on
77.7,9,23,on,on
77.8,9,23,on,on
77.9,9,23,on,on
78,9,23,on,on
78.1,9,23,on,on
78.2,9,23,on,on
78.3,9,23,on,on
78.4,9,23,on,on
78.5,9,23,on,on
78.6,9,23,on,on
78.7,9,23,on,on
78.8,9,23,on,on
78.9,9,23,on,on
79,9,23,on,on
79.1,9,23,on,on
79.2,9,23,on,on
79.3,9,23,on,on
79.4,9,23,on,on
79.5,9,23,on,on
79.6,9,23,on,on
79.7,9,23,on,on
79.8,9,23,on,on
79.9,9,23,on,on
80,9,23,on,on
80.1,9,23,on,on
80.2,9,23,on,on
80.3,9,23,on,on
80.4,9,23,on,on
80.5,9,23,on,on
80.6,9,23,on,on
80.7,9,23,on,on
80.8,9,23,on,on
80.9,9,23,on,on
81,8,23,on,on
81.1,8,23,on,on
81.2,8,23,on,on
81.3,8,23,on,on
81.4,8,23,on,on
81.5,8,23,on,on
81.6,8,23,on,on
81.7,7,23,on,on
81.8,7,23,on,on
81.9,7,23,on,on
82,7,23,on,on
82.1,7,23,on,on
82.2,7,23,on,on
82.3,7,23,on,on
82.4,7,23,on,on
82.5,7,23,on,on
82.6,7,23,on,on
82.7,7,23,on,on
82.8,8,23,on,on
82.9,8,23,on,on
83,8,23,on,on
83.1,8,23,on,on
83.2,8,23,on,on
83.3,8,23,on,on
83.4,8,23,on,on
83.5,8,23,on,on
83.6,8,23,on,on
83.7,8,23,on,on
83.8,8,23,on,on
83.9,8,23,on,on
84,8,23,on,on
84.1,8,23,on,on
84.2,8,23,on,on
84.3,8,23,on,on
84.4,8,23,on,on
84.5,8,23,on,on
84.6,8,23,on,on
84.7,8,23,on,on
84.8,8,23,on,on
84.9,8,23,on,on
85,8,23,on,on
85.1,8,23,on,on
85.2,8,23,on,on
85.3,8,23,on,on
85.4,8,23,on,on
85.5,8,23,on,on
85.6,8,23,on,on
85.7,8,23,on,on
85.8,8,23,on,on
85.9,8,23,on,on
86,8,23,on,on
86.1,8,23,on,on
86.2,8,23,on,on
86.3,8,23,on,on
86.4,8,23,on,on
86.5,8,23,on,on
86.6,8,23,on,on
86.7,8,23,on,on
86.8,8,23,on,on
86.9,8,23,on,on
87,8,23,on,on
87.1,8,23,on,on
87.2,8,23,on,on
87.3,8,23,on,on
87.4,8,23,on,on
87.5,8,23,on,on
87.6,8,23,on,on
87.7,8,23,on,on
87.8,8,23,on,on
87.9,8,23,on,on
88,8,23,on,on
88.1,8,23,on,on
88.2,8,23,on,on
88.3,8,23,on,on
88.4,8,23,on,on
88.5,8,23,on,on
88.6,8,23,on,on
88.7,8,23,on,on
88.8,8,23,on,on
88.9,8,23,on,on
89,8,23,on,on
89.1,8,23,on,on
89.2,8,23,on,on
89.3,8,23,on,on
89.4,8,23,on,on
89.5,8,23,on,on
89.6,8,23,on,on
89.7,8,23,on,on
89.8,8,23,on,on
89.9,8,23,on,on
90,8,23,on,on
90.1,8,23,on,on
90.2,8,23,on,on
90.3,8,23,on,on
90.4,8,23,on,on
90.5,8,23,on,on
90.6,8,23,on,on
90.7,8,23,on,on
90.8,8,23,on,on
90.9,8,23,on,on
91,8,23,on,on
91.1,8,23,on,on
91.2,8,23,on,on
91.3,8,23,on,on
91.4,7,23,on,on
91.5,7,23,on,on
91.6,7,23,on,on
91.7,7,23,on,on
91.8,7,23,on,on
91.9,7,23,on,on
92,7,23,on,on
92.1,7,23,on,on
92.2,7,23,on,on
92.3,7,23,on,on
92.4,7,23,on,on
92.5,7,23,on,on
92.6,7,23,on,on
92.7,7,23,on,on
92.8,7,23,on,on
92.9,7,23,on,on
93,7,23,on,on
93.1,7,23,on,on
93.2,7,23,on,on
93.3,7,23,on,on
93.4,7,23,on,on
93.5,7,23,on,on
93.6,7,23,on,on
93.7,7,23,on,on
93.8,7,23,on,on
93.9,7,23,on,on
94,7,23,on,on
94.1,7,23,on,on
94.2,7,23,on,on
94.3,7,23,on,on
94.4,7,23,on,on
94.5,7,23,on,on
94.6,7,23,on,on
94.7,7,23,on,on
94.8,7,23,on,on
94.9,7,23,on,on
95,7,23,on,on
95.1,7,23,on,on
95.2,7,23,on,on
95.3,7,23,on,on
95.4,7,23,on,on
95.5,7,23,on,on
95.6,7,23,on,on
95.7,7,23,on,on
95.8,7,23,on,on
95.9,7,23,on,on
96,7,23,on,on
96.1,7,23,on,on
96.2,7,23,on,on
96.3,7,23,on,on
96.4,7,23,on,on
96.5,7,23,on,on
96.6,7,23,on,on
96.7,7,23,on,on
96.8,7,23,on,on
96.9,7,23,on,on
97,7,23,on,on
97.1,7,23,on,on
97.2,7,23,on,on
97.3,7,23,on,on
97.4,7,23,on,on
97.5,7,23,on,on
97.6,7,23,on,on
97.7,7,23,on,on
97.8,7,23,on,on
97.9,7,23,on,on
98,7,23,on,on
98.1,7,23,on,on
98.2,7,23,on,on
98.3,7,23,on,on
98.4,7,23,on,on
98.5,7,23,on,on
98.6,7,23,on,on
98.7,7,23,on,on
98.8,7,23,on,on
98.9,7,23,on,on
99,7,23,on,on
99.1,7,23,on,on
99.2,7,23,on,on
99.3,7,23,on,on
99.4,7,23,on,on
99.5,7,23,on,on
99.6,7,23,on,on
99.7,7,23,on,on
99.8,7,23,on,on
99.9,7,23,on,on
100,7,23,on,on
100.1,7,23,on,on
100.2,7,23,on,on
100.3,7,23,on,on
100.4,7,23,on,on
100.5,7,23,on,on
100.6,7,23,on,on
100.7,7,23,on,on
100.8,7,23,on,on
100.9,7,23,on,on
101,7,23,on,on
101.1,7,23,on,on
101.2,7,23,on,on
101.3,7,23,on,on
101.4,7,23,on,on
101.5,7,23,on,on
101.6,7,23,on,on
101.7,7,23,on,on
101.8,7,23,on,on
101.9,7,23,on,on
102,7,23,on,on
102.1,7,23,on,on
102.2,7,23,on,on
102.3,7,23,on,on
102.4,7,23,on,on
102.5,7,23,on,on
102.6,7,23,on,on
102.7,7,23,on,on
102.8,7,23,on,on
102.9,7,23,on,on
103,7,23,on,on
103.1,7,23,on,on
103.2,7,23,on,on
103.3,7,23,on,on
103.4,7,23,on,on
103.5,7,23,on,on
103.6,7,23,on,on
103.7,7,23,on,on
103.8,7,23,on,on
103.9,7,23,on,on
104,7,23,on,on
104.1,7,23,on,on
104.2,7,23,on,on
104.3,7,23,on,on
104.4,7,23,on,on
104.5,7,23,on,on
104.6,7,23,on,on
104.7,7,23,on,on
104.8,7,23,on,on
104.9,7,23,on,on
105,7,23,on,on
105.1,7,23,on,on
105.2,7,23,on,on
105.3,7,23,on,on
105.4,7,23,on,on
105.5,7,23,on,on
105.6,7,23,on,on
105.7,7,23,on,on
105.8,7,23,on,on
105.9,7,23,on,on
106,7,23,on,on
106.1,7,23,on,on
106.2,7,23,on,on
106.3,7,23,on,on
106.4,7,23,on,on
106.5,7,23,on,on
106.6,7,23,on,on
106.7,7,23,on,on
106.8,7,23,on,on
106.9,7,23,on,on
107,7,23,on,on
107.1,7,23,on,on
107.2,7,23,on,on
107.3,7,23,on,on
107.4,7,23,on,on
107.5,7,23,on,on
107.6,7,23,on,on
107.7,7,23,on,on
107.8,7,23,on,on
107.9,7,23,on,on
108,7,23,on,on
108.1,7,23,on,on
108.2,7,23,on,on
108.3,7,23,on,on
108.4,7,23,on,on
108.5,7,23,on,on
108.6,7,23,on,on
108.7,7,23,on,on
108.8,7,23,on,on
108.9,7,23,on,on
109,7,23,on,on
109.1,7,23,on,on
109.2,7,23,on,on
109.3,7,23,on,on
109.4,7,23,on,on
109.5,7,23,on,on
109.6,7,23,on,on
109.7,7,23,on,on
109.8,7,23,on,on
109.9,7,23,on,on
110,7,23,on,on
110.1,7,23,on,on
110.2,7,23,on,on
110.3,7,23,on,on
110.4,7,23,on,on
110.5,7,23,on,on
110.6,7,23,on,on
110.7,7,23,on,on
110.8,7,23,on,on
110.9,7,23,on,on
111,7,23,on,on
111.1,7,23,on,on
111.2,7,23,on,on
111.3,7,23,on,on
111.4,7,23,on,on
111.5,8,23,on,on
111.6,8,23,on,on
111.7,8,23,on,on
111.8,8,23,on,on
111.9,8,23,on,on
112,8,23,on,on
112.1,8,23,on,on
112.2,8,23,on,on
112.3,9,23,on,on
112.4,9,23,on,on
112.5,9,23,on,on
112.6,9,23,on,on
112.7,9,23,on,on
112.8,9,23,on,on
112.9,9,23,on,on
113,9,23,on,on
113.1,9,23,on,on
113.2,9,23,on,on
113.3,9,23,on,on
113.4,9,23,on,on
113.5,9,23,on,on
113.6,9,23,on,on
113.7,9,23,on,on
113.8,9,23,on,on
113.9,9,23,on,on
114,9,23,on,on
114.1,9,23,on,on
114.2,9,23,on,on
114.3,9,23,on,on
114.4,9,23,on,on
114.5,9,23,on,on
114.6,9,23,on,on
114.7,9,23,on,on
114.8,9,23,on,on
114.9,9,23,on,on
115,9,23,on,on
115.1,9,23,on,on
115.2,9,23,on,on
115.3,9,23,on,on
115.4,9,23,on,on
115.5,9,23,on,on
115.6,9,23,on,on
115.7,9,23,on,on
115.8,9,23,on,on
115.9,9,23,on,on
116,9,23,on,on
116.1,9,23,on,on
116.2,9,23,on,on
116.3,9,23,on,on
116.4,9,23,on,on
116.5,9,23,on,on
116.6,9,23,on,on
116.7,9,23,on,on
116.8,9,23,on,on
116.9,9,23,on,on
117,9,23,on,on
117.1,9,23,on,on
117.2,9,23,on,on
117.3,9,23,on,on
117.4,9,23,on,on
117.5,9,23,on,on
117.6,9,23,on,on
117.7,9,23,on,on
117.8,9,23,on,on
117.9,9,23,on,on
118,9,23,on,on
118.1,9,23,on,on
118.2,9,23,on,on
118.3,9,23,on,on
